x,y,z,u,v,w,uvar,vvar,wvar
3,0,0,0,0,0,0,0,0
3,0,0.003003,-0.056345983,0.0059425749,0.0028566772,0.023717419,0.014283211,0.00025922178
3,0,0.006006,-0.062230104,0.016284809,0.0071697675,0.036732648,0.024166533,0.0016588084
3,0,0.009009,-0.05239095,0.025610525,0.010301964,0.039242909,0.026797985,0.0037820651
3,0,0.012012,-0.042547848,0.0322108,0.012072583,0.036969452,0.025387398,0.005986937
3,0,0.015015,-0.037016973,0.036319711,0.012983993,0.034722541,0.023659937,0.0078909159
3,0,0.018018,-0.034517283,0.038889551,0.013304235,0.034148033,0.02347636,0.0094712563
3,0,0.021021,-0.032276091,0.040835263,0.012795945,0.03426331,0.024656563,0.010925371
3,0,0.024024,-0.028544108,0.042677802,0.010881721,0.033390314,0.026043014,0.012436274
3,0,0.027027,-0.023629753,0.04451616,0.0070360761,0.031093435,0.026840645,0.013987949
3,0,0.03003,-0.019562569,0.046257774,0.0011940816,0.02872999,0.027269771,0.015375499
3,0,0.033033,-0.018495552,0.048037049,-0.0060331371,0.027221065,0.027568622,0.016554965
3,0,0.036036,-0.017977881,0.051005404,-0.013363661,0.025549851,0.026690904,0.017825606
3,0,0.039039,-0.017930565,0.054415813,-0.020716144,0.024509037,0.02638181,0.019138888
3,0,0.042042,-0.01803366,0.058162314,-0.028147016,0.023642531,0.026474749,0.020446595
3,0,0.045045,-0.017011171,0.062182471,-0.035436037,0.022636845,0.026829837,0.021750561
3,0,0.048048,-0.014311363,0.066156782,-0.042460158,0.021301695,0.027292279,0.023059027
3,0,0.051051,-0.01021465,0.069658391,-0.049268257,0.019804654,0.027641213,0.024329618
3,0,0.054054,-0.0056596257,0.072278205,-0.056041753,0.018597276,0.027658383,0.025481522
3,0,0.057057,-0.001856053,0.07372271,-0.06299033,0.018163772,0.027246252,0.026444001
3,0,0.06006,0.00024632136,0.073881807,-0.070232029,0.01872337,0.026525129,0.027208349
3,0,0.063063,0.00056430666,0.072863989,-0.07770693,0.020017445,0.025838925,0.027850407
3,0,0.066066,0.00049431066,0.070996161,-0.085173701,0.021312547,0.025599126,0.028490766
3,0,0.069069,0.0034630466,0.068785433,-0.092338222,0.021750412,0.025896581,0.029159753
3,0,0.072072,0.0076192548,0.065987371,-0.099634404,0.022163567,0.02577734,0.029785967
3,0,0.075075,0.011684809,0.06424412,-0.10761602,0.021889239,0.025782957,0.030290924
3,0,0.078078,0.015299699,0.064019914,-0.11672944,0.021416924,0.025680783,0.030548772
3,0,0.081081,0.017574815,0.065053355,-0.12657979,0.021105239,0.025312046,0.0305621
3,0,0.084084,0.01849642,0.066878325,-0.13639497,0.0209764,0.024730646,0.030373476
3,0,0.087087,0.018672579,0.068953801,-0.14546629,0.02094846,0.024088533,0.030029072
3,0,0.09009,0.019045041,0.070791534,-0.15338643,0.020966655,0.023550814,0.029569146
3,0,0.093093,0.020594178,0.07206677,-0.16012491,0.021053961,0.023239796,0.029033627
3,0,0.096096,0.024064584,0.072697145,-0.16598178,0.021300941,0.023207107,0.028471056
3,0,0.099099,0.029738927,0.07287495,-0.17145977,0.02181497,0.023433098,0.027939115
3,0,0.1021,0.037282191,0.073037678,-0.17709165,0.022648281,0.023852354,0.027485281
3,0,0.10511,0.045736161,0.073765636,-0.18330141,0.023731378,0.024407819,0.027093261
3,0,0.10811,0.053670729,0.074938156,-0.1900787,0.02477683,0.025133749,0.026633809
3,0,0.11111,0.060300644,0.073346547,-0.19680176,0.025509627,0.0264282,0.026187639
3,0,0.11411,0.065151706,0.072199538,-0.20345929,0.025962632,0.028340677,0.025873408
3,0,0.11712,0.069109735,0.071301019,-0.20958353,0.026083969,0.030550977,0.025857069
3,0,0.12012,0.07255179,0.070548864,-0.2149586,0.025960793,0.032638982,0.02613182
3,0,0.12312,0.075639454,0.069871059,-0.21963328,0.025699853,0.034319416,0.026608646
3,0,0.12613,0.078409999,0.069201289,-0.22375724,0.025373414,0.035488907,0.027181505
3,0,0.12913,0.080830369,0.068462709,-0.22747642,0.025022875,0.036208894,0.027756253
3,0,0.13213,0.082887352,0.067546583,-0.23096167,0.024676756,0.036662244,0.028280017
3,0,0.13514,0.084568484,0.066321747,-0.23433337,0.02438319,0.037044918,0.028736862
3,0,0.13814,0.08586348,0.064669667,-0.23762474,0.024223909,0.037476589,0.029134747
3,0,0.14114,0.086829066,0.06249587,-0.24086725,0.02427916,0.037951001,0.029498868
3,0,0.14414,0.087634841,0.059795554,-0.24409094,0.024541178,0.038336766,0.029847541
3,0,0.14715,0.088701722,0.056706746,-0.24742065,0.024738023,0.03847519,0.030179367
3,0,0.15015,0.089591421,0.053412547,-0.25079354,0.024944932,0.038728153,0.030496989
3,0,0.15315,0.090969886,0.049877861,-0.25432765,0.025353035,0.038592207,0.030683408
3,0,0.15616,0.093177984,0.046381892,-0.25805154,0.025834424,0.038327678,0.030774942
3,0,0.15916,0.096146963,0.043054602,-0.2619061,0.026305228,0.038178621,0.030771122
3,0,0.16216,0.099687487,0.039920044,-0.26585411,0.026699585,0.038270689,0.030655847
3,0,0.16517,0.10355141,0.037011402,-0.26984308,0.026977458,0.038641613,0.030420033
3,0,0.16817,0.10745095,0.034425467,-0.27376518,0.027134305,0.039255998,0.030078304
3,0,0.17117,0.11119141,0.032256139,-0.27754137,0.027212443,0.040032906,0.02966676
3,0,0.17417,0.11466098,0.030601873,-0.28107641,0.027293755,0.040861364,0.029240463
3,0,0.17718,0.11787958,0.029508856,-0.28429502,0.027486468,0.041623668,0.028861089
3,0,0.18018,0.12096643,0.028939802,-0.28711857,0.027891384,0.042207641,0.028588065
3,0,0.18318,0.12419377,0.02872145,-0.28955413,0.02855538,0.042547699,0.028456209
3,0,0.18619,0.12792677,0.028554302,-0.29168855,0.029400607,0.042643607,0.028468559
3,0,0.18919,0.13253054,0.028041133,-0.29371207,0.030114818,0.042598152,0.028585298
3,0,0.19219,0.13764299,0.027261487,-0.29564232,0.030729059,0.042419029,0.028761074
3,0,0.1952,0.14248616,0.026369618,-0.29749813,0.031337156,0.042143236,0.028958178
3,0,0.1982,0.1469755,0.025691267,-0.29928345,0.031843132,0.041832512,0.029155392
3,0,0.2012,0.15105404,0.025445938,-0.30096108,0.032232277,0.041534596,0.029348292
3,0,0.2042,0.15470303,0.025673031,-0.30250796,0.032474439,0.041297259,0.02953354
3,0,0.20721,0.1579669,0.026289324,-0.30392626,0.032551348,0.041144532,0.029708214
3,0,0.21021,0.16090356,0.02713073,-0.30522375,0.032470236,0.041073599,0.029867961
3,0,0.21321,0.16363579,0.02801023,-0.30643855,0.03226933,0.041059381,0.030012394
3,0,0.21622,0.16629775,0.028750301,-0.30761739,0.032010441,0.041071544,0.030145631
3,0,0.21922,0.16898927,0.029205608,-0.30879544,0.031770444,0.041089818,0.030277397
3,0,0.22222,0.17180284,0.02930155,-0.31000598,0.031616277,0.041116753,0.030426699
3,0,0.22523,0.17477012,0.029037114,-0.31125088,0.031583546,0.041181034,0.030619857
3,0,0.22823,0.17780012,0.028499793,-0.3124646,0.031646086,0.041325141,0.030884473
3,0,0.23123,0.18070648,0.027858706,-0.31351053,0.031682531,0.041574922,0.031245603
3,0,0.23423,0.1831354,0.027357269,-0.31412954,0.031442134,0.041882207,0.031711332
3,0,0.23724,0.185747,0.026960208,-0.31436326,0.031354408,0.042400959,0.032268904
3,0,0.24024,0.18764183,0.026352604,-0.31412789,0.031485618,0.042834622,0.032957557
3,0,0.24324,0.18882613,0.025544725,-0.31344683,0.031694655,0.043176745,0.033783931
3,0,0.24625,0.18965987,0.024536303,-0.31248785,0.031992213,0.043457043,0.034734646
3,0,0.24925,0.19042819,0.023336274,-0.31142873,0.032356872,0.043666002,0.035779106
3,0,0.25225,0.19136141,0.021938834,-0.31040837,0.03274973,0.043798271,0.036893962
3,0,0.25526,0.19262438,0.020334147,-0.30952184,0.033123882,0.043865485,0.038057488
3,0,0.25826,0.19429301,0.01853578,-0.3088255,0.033433606,0.043897498,0.03923769
3,0,0.26126,0.19637097,0.01655941,-0.30832488,0.033654382,0.043933847,0.040415032
3,0,0.26426,0.19877219,0.014453794,-0.3079995,0.033786848,0.044007783,0.041565683
3,0,0.26727,0.20134139,0.012296052,-0.30781559,0.033862229,0.044132168,0.042667416
3,0,0.27027,0.20384307,0.010222502,-0.30774602,0.033938047,0.044287955,0.043684183
3,0,0.27327,0.20605854,0.0083787778,-0.30778376,0.0340861,0.044427732,0.044588421
3,0,0.27628,0.20782657,0.0069277953,-0.30795916,0.034367601,0.044491082,0.045350355
3,0,0.27928,0.20913095,0.0060302944,-0.30834407,0.034790119,0.044442372,0.045936483
3,0,0.28228,0.21027212,0.0057688907,-0.30905421,0.035257802,0.044336689,0.046332308
3,0,0.28529,0.21144812,0.0054329325,-0.30983904,0.035813285,0.044616572,0.046698581
3,0,0.28829,0.2133487,0.0057608108,-0.31075904,0.036279003,0.045107291,0.046909385
3,0,0.29129,0.21588237,0.0065654713,-0.31172736,0.036678837,0.045649431,0.046999162
3,0,0.29429,0.21881747,0.0075231355,-0.31265271,0.037040497,0.046177607,0.04701838
3,0,0.2973,0.22196729,0.0084187906,-0.31352174,0.037359357,0.046651613,0.046992922
3,0,0.3003,0.22515898,0.0091228036,-0.31436974,0.037616702,0.047046809,0.046932921
3,0,0.3033,0.22830089,0.0095940442,-0.31527661,0.037801136,0.047359781,0.046839053
3,0,0.30631,0.23134798,0.0098495998,-0.31633671,0.037912982,0.047598195,0.046707804
3,0,0.30931,0.2342639,0.0099453865,-0.31762569,0.037967491,0.047775068,0.046537671
3,0,0.31231,0.23706952,0.0099597338,-0.31920233,0.037996002,0.047908655,0.046329963
3,0,0.31532,0.23979558,0.0099679153,-0.32108756,0.03804027,0.048014373,0.046092202
3,0,0.31832,0.24243983,0.010021959,-0.32323362,0.038145988,0.04809916,0.04584307
3,0,0.32132,0.24500318,0.010130383,-0.32556214,0.038355979,0.048158134,0.045609221
3,0,0.32432,0.24743571,0.010240109,-0.32795063,0.038702325,0.048167609,0.04542981
3,0,0.32733,0.24963637,0.010220385,-0.33026839,0.039201878,0.048079311,0.045357137
3,0,0.33033,0.25141082,0.0098509875,-0.33238261,0.039844604,0.047816023,0.045458896
3,0,0.33333,0.25250646,0.0088149392,-0.33425789,0.040602216,0.04726443,0.04581829
3,0,0.33634,0.25495195,0.0076574018,-0.33589044,0.040884725,0.046499908,0.046411495
3,0,0.33934,0.25791,0.00644828,-0.3373891,0.041275524,0.045749442,0.047198706
3,0,0.34234,0.2609395,0.0052262839,-0.33891769,0.041815036,0.044926606,0.047915674
3,0,0.34535,0.26409349,0.0041072659,-0.3405464,0.04235268,0.044114967,0.048428625
3,0,0.34835,0.26733782,0.0031441723,-0.34227674,0.042777235,0.043473254,0.048714371
3,0,0.35135,0.27062941,0.0023303244,-0.34409715,0.043048053,0.043139822,0.048819573
3,0,0.35435,0.2738927,0.0016366174,-0.34597697,0.043186213,0.043198078,0.048815291
3,0,0.35736,0.27705905,0.0010229936,-0.34788686,0.043260175,0.043656584,0.048772832
3,0,0.36036,0.28004331,0.0004591676,-0.34977697,0.043359053,0.044443225,0.048748208
3,0,0.36336,0.28282316,-7.9303848e-05,-0.35161543,0.043563691,0.045431832,0.048772999
3,0,0.36637,0.28541656,-0.00060128082,-0.35336637,0.043919228,0.046467339,0.048853923
3,0,0.36937,0.28786506,-0.0010972812,-0.35497046,0.044409643,0.047383288,0.048974785
3,0,0.37237,0.29028401,-0.0015572927,-0.3563779,0.044957859,0.048052107,0.04910471
3,0,0.37538,0.2928262,-0.0019780638,-0.35752787,0.04543495,0.04839261,0.049205475
3,0,0.37838,0.29563589,-0.0023782457,-0.35834356,0.045691767,0.048378124,0.049238232
3,0,0.38138,0.29886539,-0.0028314773,-0.35876377,0.04563675,0.048032389,0.049171606
3,0,0.38438,0.30259505,-0.0034916311,-0.3587413,0.045332458,0.047388048,0.048982422
3,0,0.38739,0.30679307,-0.0046367,-0.3582674,0.045143342,0.046418458,0.0486518
3,0,0.39039,0.31051915,-0.0049862716,-0.35756694,0.045152421,0.045760906,0.048229929
3,0,0.39339,0.31440931,-0.0050776841,-0.35722842,0.045652869,0.045777187,0.047463533
3,0,0.3964,0.31864005,-0.0056323882,-0.35708871,0.046309188,0.045923543,0.046427218
3,0,0.3994,0.32284465,-0.0064105209,-0.35699977,0.046739923,0.046086646,0.045296122
3,0,0.4024,0.32682652,-0.0072888014,-0.35688806,0.046878923,0.04624292,0.044192595
3,0,0.40541,0.3304863,-0.0082165722,-0.35673493,0.04681233,0.04641272,0.043196993
3,0,0.40841,0.33376444,-0.0091727751,-0.35656038,0.046676478,0.046627636,0.042360016
3,0,0.41141,0.33669388,-0.010160221,-0.35640483,0.046588998,0.046914339,0.04168726
3,0,0.41441,0.33933277,-0.011176014,-0.35631857,0.046615336,0.047282638,0.041159186
3,0,0.41742,0.34177065,-0.012207033,-0.35635179,0.046761038,0.0477252,0.040733485
3,0,0.42042,0.34408478,-0.013210862,-0.35654614,0.046979932,0.048214523,0.040358142
3,0,0.42342,0.34637837,-0.014136342,-0.35692986,0.047200268,0.048718543,0.039971227
3,0,0.42643,0.34874788,-0.014916336,-0.35751692,0.047351956,0.049204673,0.039512715
3,0,0.42943,0.35125311,-0.015469316,-0.35829703,0.04739252,0.049642518,0.038936241
3,0,0.43243,0.35395857,-0.015726591,-0.35924789,0.047329839,0.050019019,0.038206035
3,0,0.43544,0.35690818,-0.015634075,-0.36033393,0.047224147,0.050333648,0.037303484
3,0,0.43844,0.36008879,-0.015173415,-0.36149665,0.04717377,0.050590597,0.036240496
3,0,0.44144,0.36348495,-0.014377359,-0.36268159,0.04726773,0.050791093,0.035041103
3,0,0.44444,0.36703649,-0.013347419,-0.36383038,0.047507773,0.050904763,0.033749523
3,0,0.44745,0.37111197,-0.01235803,-0.3649538,0.047626689,0.050755458,0.032381604
3,0,0.45045,0.37691873,-0.012093574,-0.3659913,0.047555077,0.050066406,0.031236054
3,0,0.45345,0.38158098,-0.011870063,-0.36656266,0.047809838,0.049434835,0.030597229
3,0,0.45646,0.38560457,-0.011528185,-0.36688345,0.048168933,0.048846348,0.030238049
3,0,0.45946,0.38932094,-0.011052931,-0.367104,0.048480599,0.048297013,0.030026155
3,0,0.46246,0.39298625,-0.010512578,-0.36732297,0.048660464,0.047782363,0.029891199
3,0,0.46547,0.39676091,-0.010016979,-0.36759337,0.048674638,0.047303415,0.029807588
3,0,0.46847,0.40069341,-0.0096884823,-0.36793054,0.048529439,0.04686968,0.029775747
3,0,0.47147,0.40481458,-0.0096254898,-0.36832832,0.048259886,0.046487754,0.029805996
