x,y,z,u,v,w,uu,vv,ww
-4,0,1.6,1.0733567,8.907672e-06,0.0090183089,-1.5113552e-08,3.9284676e-08,1.9084171e-08
-3.976,0,1.6,1.0732414,9.0751398e-06,0.0091470802,6.4224212e-08,4.0634584e-08,1.9757165e-08
-3.952,0,1.6,1.0731241,9.2466896e-06,0.0092781393,-7.2058507e-08,4.203346e-08,2.0446028e-08
-3.9279,0,1.6,1.0730043,9.4230166e-06,0.0094120977,7.371626e-08,4.3489328e-08,2.1143621e-08
-3.9039,0,1.6,1.0728828,9.6028654e-06,0.0095478783,2.0171149e-07,4.4992062e-08,2.1863523e-08
-3.8799,0,1.6,1.0727592,9.78706e-06,0.0096861171,2.0964667e-07,4.6549618e-08,2.2613894e-08
-3.8559,0,1.6,1.0726335,9.9757004e-06,0.0098268106,7.2837787e-08,4.816414e-08,2.3385787e-08
-3.8318,0,1.6,1.0725049,1.0169771e-05,0.009970647,9.9062272e-08,4.984493e-08,2.4171194e-08
-3.8078,0,1.6,1.0723747,1.0367828e-05,0.010116439,-8.8538984e-08,5.1580307e-08,2.4975159e-08
-3.7838,0,1.6,1.0722419,1.0570666e-05,0.010264944,1.547081e-07,5.3379563e-08,2.5816733e-08
-3.7598,0,1.6,1.072107,1.0778598e-05,0.010416094,1.0655888e-07,5.5245157e-08,2.6667266e-08
-3.7357,0,1.6,1.071969,1.0992591e-05,0.010570709,4.0286513e-08,5.7187885e-08,2.755183e-08
-3.7117,0,1.6,1.071829,1.1211007e-05,0.01072745,3.5572213e-08,5.9194346e-08,2.8433452e-08
-3.6877,0,1.6,1.0716865,1.1434926e-05,0.010887086,1.7125856e-09,6.1275281e-08,2.9366227e-08
-3.6637,0,1.6,1.0715413,1.1664518e-05,0.01104967,-6.92149e-08,6.3433602e-08,3.0317463e-08
-3.6396,0,1.6,1.0713929,1.190081e-05,0.011215989,-9.805559e-08,6.5681858e-08,3.1257782e-08
-3.6156,0,1.6,1.0712423,1.2142272e-05,0.011384674,1.2301761e-08,6.8004595e-08,3.2253365e-08
-3.5916,0,1.6,1.0710889,1.238984e-05,0.011556552,-9.6652641e-08,7.0414297e-08,3.3253337e-08
-3.5676,0,1.6,1.0709326,1.264379e-05,0.011731636,-3.9698869e-08,7.2914432e-08,3.4279016e-08
-3.5435,0,1.6,1.0707727,1.2905444e-05,0.011910821,9.0315478e-08,7.5519574e-08,3.5321349e-08
-3.5195,0,1.6,1.0706105,1.317277e-05,0.012092666,1.400874e-07,7.8211914e-08,3.6402154e-08
-3.4955,0,1.6,1.0704451,1.3447085e-05,0.012277957,1.1635467e-07,8.1005997e-08,3.750998e-08
-3.4715,0,1.6,1.0702766,1.37288e-05,0.012466863,-3.4404001e-08,8.3905854e-08,3.8613422e-08
-3.4474,0,1.6,1.0701041,1.4018959e-05,0.012660216,-1.2969092e-07,8.6928578e-08,3.9753846e-08
-3.4234,0,1.6,1.0699288,1.4315688e-05,0.012856562,1.9269581e-07,9.0053532e-08,4.09264e-08
-3.3994,0,1.6,1.0697503,1.4620348e-05,0.013056768,8.7912985e-08,9.3297667e-08,4.2093332e-08
-3.3754,0,1.6,1.0695683,1.4933213e-05,0.013260954,-7.8133756e-08,9.6665837e-08,4.3279082e-08
-3.3514,0,1.6,1.0693826,1.5254752e-05,0.013469193,-7.5871149e-08,1.0016311e-07,4.4516717e-08
-3.3273,0,1.6,1.0691923,1.5586218e-05,0.013682539,4.2506869e-08,1.0381014e-07,4.575849e-08
-3.3033,0,1.6,1.0689991,1.5925649e-05,0.013899306,6.71745e-08,1.075822e-07,4.7012471e-08
-3.2793,0,1.6,1.068802,1.6274158e-05,0.014120556,5.5378819e-08,1.1149991e-07,4.8286613e-08
-3.2553,0,1.6,1.068601,1.6632492e-05,0.014346327,7.7062271e-08,1.1556929e-07,4.959611e-08
-3.2312,0,1.6,1.0683949,1.7002426e-05,0.014577842,1.6746764e-07,1.1981452e-07,5.0895035e-08
-3.2072,0,1.6,1.0681855,1.7381135e-05,0.014813196,1.9802337e-07,1.2420698e-07,5.2234471e-08
-3.1832,0,1.6,1.0679719,1.7770661e-05,0.015053567,4.3734348e-08,1.2877078e-07,5.3554398e-08
-3.1592,0,1.6,1.0677538,1.8171084e-05,0.015299134,2.6006484e-07,1.3351305e-07,5.4932668e-08
-3.1351,0,1.6,1.0675303,1.8585247e-05,0.015550986,-3.2449342e-08,1.3846218e-07,5.6339765e-08
-3.1111,0,1.6,1.067303,1.9009381e-05,0.015807348,4.8837414e-09,1.4358499e-07,5.7706749e-08
-3.0871,0,1.6,1.0670709,1.944588e-05,0.016069348,1.2981845e-07,1.4890975e-07,5.9126093e-08
-3.0631,0,1.6,1.0668341,1.9895237e-05,0.01633718,1.5045474e-07,1.5444499e-07,6.0559176e-08
-3.039,0,1.6,1.0665911,2.0359776e-05,0.016612226,1.6679359e-07,1.6022407e-07,6.1992728e-08
-3.015,0,1.6,1.0663442,2.0836292e-05,0.016892386,7.8083161e-08,1.6620836e-07,6.3421682e-08
-2.991,0,1.6,1.0660919,2.1326998e-05,0.017178971,2.3984003e-07,1.724311e-07,6.4869582e-08
-2.967,0,1.6,1.0658344,2.1832578e-05,0.017472234,5.5638134e-09,1.7890256e-07,6.6369409e-08
-2.9429,0,1.6,1.0655702,2.2355772e-05,0.017773697,7.2896685e-08,1.8566192e-07,6.7798144e-08
-2.9189,0,1.6,1.0653015,2.2892794e-05,0.018080945,8.0113562e-08,1.926643e-07,6.9280207e-08
-2.8949,0,1.6,1.065027,2.3446465e-05,0.018395725,2.1266791e-07,1.999489e-07,7.0851695e-08
-2.8709,0,1.6,1.0647466,2.4017285e-05,0.018718017,3.0258393e-07,2.0752782e-07,7.2329009e-08
-2.8468,0,1.6,1.0644592,2.4608506e-05,0.019049635,1.6232148e-07,2.1544743e-07,7.3893791e-08
-2.8228,0,1.6,1.0641667,2.521596e-05,0.019388114,1.1719509e-07,2.2365541e-07,7.5404286e-08
-2.7988,0,1.6,1.0638679,2.584274e-05,0.019735043,3.4072725e-07,2.3219791e-07,7.6930412e-08
-2.7748,0,1.6,1.0635628,2.648958e-05,0.020090745,1.3462952e-07,2.4108961e-07,7.8520051e-08
-2.7508,0,1.6,1.0632511,2.715735e-05,0.020455542,1.8028046e-07,2.5034585e-07,8.0037307e-08
-2.7267,0,1.6,1.0629315,2.7849722e-05,0.020831359,5.5668615e-08,2.6002352e-07,8.1684942e-08
-2.7027,0,1.6,1.0626063,2.8561912e-05,0.021215403,2.9027094e-07,2.7005938e-07,8.3250968e-08
-2.6787,0,1.6,1.0622742,2.9297559e-05,0.021609536,2.5281078e-07,2.8051023e-07,8.4913989e-08
-2.6547,0,1.6,1.0619352,3.0057643e-05,0.022014169,1.7288273e-07,2.913946e-07,8.6535785e-08
-2.6306,0,1.6,1.0615874,3.0846492e-05,0.022431415,3.0131938e-07,3.0277985e-07,8.8171208e-08
-2.6066,0,1.6,1.0612339,3.165858e-05,0.022858224,1.7358143e-07,3.1459196e-07,8.97911e-08
-2.5826,0,1.6,1.060873,3.2498264e-05,0.023296696,1.5547635e-07,3.2689848e-07,9.1456486e-08
-2.5586,0,1.6,1.0605044,3.3366557e-05,0.02374726,1.8597615e-07,3.3972157e-07,9.3154679e-08
-2.5345,0,1.6,1.0601267,3.4268512e-05,0.02421231,1.9713037e-08,3.531413e-07,9.4942095e-08
-2.5105,0,1.6,1.0597426,3.5197833e-05,0.02468845,2.7266211e-07,3.6707076e-07,9.6765891e-08
-2.4865,0,1.6,1.0593508,3.6159505e-05,0.025178047,2.8685675e-07,3.8159042e-07,9.8451093e-08
-2.4625,0,1.6,1.058951,3.7154828e-05,0.025681646,2.417497e-07,3.9672707e-07,1.0035103e-07
-2.4384,0,1.6,1.0585414,3.8189477e-05,0.026201788,1.6970367e-07,4.1257575e-07,1.0225794e-07
-2.4144,0,1.6,1.0581252,3.9256368e-05,0.026734907,3.6839766e-07,4.2903504e-07,1.0412314e-07
-2.3904,0,1.6,1.0577008,4.0361173e-05,0.027283465,4.6283883e-07,4.4620027e-07,1.0612527e-07
