          atime           uavg           vavg           wavg         pm1avg           tavg
  1.8000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.1774243E-01  0.0000000E+00
  1.8000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.0241885E-01  0.0000000E+00
  1.8000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  7.8714362E-01  0.0000000E+00
  1.8000000E+01 -5.6345983E-02  2.8566772E-03  5.9425749E-03  8.1809148E-01  0.0000000E+00
  1.8000000E+01  2.1624965E-01 -1.1662256E-03 -3.9858633E-04  8.0237946E-01  0.0000000E+00
  1.8000000E+01  2.1840723E-01 -1.1290650E-03 -1.2928450E-02  7.8713362E-01  0.0000000E+00
  1.8000000E+01 -6.2230104E-02  7.1697675E-03  1.6284809E-02  8.1640305E-01  0.0000000E+00
  1.8000000E+01  3.7406398E-01 -3.2743942E-03 -6.0868990E-04  8.0223732E-01  0.0000000E+00
  1.8000000E+01  3.8822345E-01 -3.2651918E-03 -1.7321698E-02  7.8705244E-01  0.0000000E+00
  1.8000000E+01 -5.2390950E-02  1.0301964E-02  2.5610525E-02  8.1406178E-01  0.0000000E+00
  1.8000000E+01  4.7717815E-01 -5.1762976E-03 -2.0266403E-03  8.0198583E-01  0.0000000E+00
  1.8000000E+01  5.0711247E-01 -5.3044572E-03 -1.6335983E-02  7.8692952E-01  0.0000000E+00
  1.8000000E+01 -4.2547848E-02  1.2072583E-02  3.2210800E-02  8.1178734E-01  0.0000000E+00
  1.8000000E+01  5.3726789E-01 -6.5829211E-03 -4.9527309E-03  8.0165204E-01  0.0000000E+00
  1.8000000E+01  5.8195186E-01 -6.8932580E-03 -1.2976585E-02  7.8675889E-01  0.0000000E+00
  1.8000000E+01 -3.7016973E-02  1.2983993E-02  3.6319711E-02  8.0984365E-01  0.0000000E+00
  1.8000000E+01  5.6870857E-01 -7.6598146E-03 -8.9847331E-03  8.0127506E-01  0.0000000E+00
  1.8000000E+01  6.2420150E-01 -8.1040003E-03 -9.6031186E-03  7.8654680E-01  0.0000000E+00
  1.8000000E+01 -3.4517283E-02  1.3304235E-02  3.8889551E-02  8.0822487E-01  0.0000000E+00
  1.8000000E+01  5.8479927E-01 -8.7177873E-03 -1.3339134E-02  8.0088900E-01  0.0000000E+00
  1.8000000E+01  6.4629732E-01 -9.1722098E-03 -7.6593054E-03  7.8631987E-01  0.0000000E+00
