          atime          uvari          vvari          wvari          pvari          tvari
  1.8000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.4360696E-06  0.0000000E+00
  1.8000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.0264458E-03  0.0000000E+00
  1.8000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.2790163E-04  0.0000000E+00
  1.8000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.3006400E-04  0.0000000E+00
  1.8000000E+01  1.9268937E-07  1.1523512E-12  3.2836559E-09  3.4321425E-06  0.0000000E+00
  1.8000000E+01  2.3717419E-02  2.5922178E-04  1.4283211E-02  1.9821370E-03  0.0000000E+00
  1.8000000E+01  8.5851986E-03  1.8284326E-05  7.1790423E-03  8.2348232E-04  0.0000000E+00
  1.8000000E+01  4.9977619E-03  1.0192477E-05  3.1930188E-03  2.2907668E-04  0.0000000E+00
  1.8000000E+01  6.1914937E-07  1.2618051E-11  9.5130979E-09  3.3525593E-06  0.0000000E+00
  1.8000000E+01  3.6732648E-02  1.6588084E-03  2.4166533E-02  1.9989840E-03  0.0000000E+00
  1.8000000E+01  1.9361724E-02  1.6463909E-04  1.5338241E-02  8.3017108E-04  0.0000000E+00
  1.8000000E+01  1.3046891E-02  1.0430251E-04  7.5293477E-03  2.3034821E-04  0.0000000E+00
  1.8000000E+01  1.1163345E-06  4.3911856E-11  1.5570766E-08  3.3816818E-06  0.0000000E+00
  1.8000000E+01  3.9242909E-02  3.7820651E-03  2.6797985E-02  2.0284343E-03  0.0000000E+00
  1.8000000E+01  2.5647060E-02  4.7234319E-04  2.0438033E-02  8.3894236E-04  0.0000000E+00
  1.8000000E+01  1.9814497E-02  3.1727677E-04  1.0739108E-02  2.3078650E-04  0.0000000E+00
  1.8000000E+01  1.5868606E-06  9.9218557E-11  2.0137492E-08  3.4487972E-06  0.0000000E+00
  1.8000000E+01  3.6969452E-02  5.9869370E-03  2.5387398E-02  2.0589143E-03  0.0000000E+00
  1.8000000E+01  2.7319538E-02  8.7451826E-04  2.2605866E-02  8.4603577E-04  0.0000000E+00
  1.8000000E+01  2.3418696E-02  6.0537607E-04  1.2403708E-02  2.3042732E-04  0.0000000E+00
  1.8000000E+01  1.9803001E-06  1.7930421E-10  2.2903417E-08  3.4726934E-06  0.0000000E+00
  1.8000000E+01  3.4722541E-02  7.8909159E-03  2.3659937E-02  2.0913006E-03  0.0000000E+00
  1.8000000E+01  2.6415179E-02  1.2915369E-03  2.3159623E-02  8.5014603E-04  0.0000000E+00
  1.8000000E+01  2.3910811E-02  9.0769561E-04  1.2823449E-02  2.2974045E-04  0.0000000E+00
  1.8000000E+01  2.2779110E-06  2.8314337E-10  2.4054240E-08  3.4456361E-06  0.0000000E+00
  1.8000000E+01  3.4148033E-02  9.4712563E-03  2.3476360E-02  2.1284292E-03  0.0000000E+00
  1.8000000E+01  2.4825512E-02  1.6728649E-03  2.3139973E-02  8.5094777E-04  0.0000000E+00
  1.8000000E+01  2.2481438E-02  1.1800298E-03  1.2430514E-02  2.2865548E-04  0.0000000E+00
  1.8000000E+01  2.4804911E-06  4.0917512E-10  2.3969422E-08  3.4146737E-06  0.0000000E+00
  1.8000000E+01  3.4263310E-02  1.0925371E-02  2.4656563E-02  2.1733116E-03  0.0000000E+00
  1.8000000E+01  2.3516561E-02  2.0056587E-03  2.2917938E-02  8.4853853E-04  0.0000000E+00
  1.8000000E+01  2.0589843E-02  1.4070570E-03  1.1583301E-02  2.2668498E-04  0.0000000E+00
  1.8000000E+01  2.5990472E-06  5.5610068E-10  2.3068975E-08  3.4181970E-06  0.0000000E+00
  1.8000000E+01  3.3390314E-02  1.2436274E-02  2.6043014E-02  2.2307223E-03  0.0000000E+00
  1.8000000E+01  2.2689211E-02  2.3024383E-03  2.2444008E-02  8.4338303E-04  0.0000000E+00
  1.8000000E+01  1.9216149E-02  1.5988201E-03  1.0578082E-02  2.2352312E-04  0.0000000E+00
  1.8000000E+01  2.6479714E-06  7.2313541E-10  2.1745423E-08  3.4356813E-06  0.0000000E+00
  1.8000000E+01  3.1093435E-02  1.3987949E-02  2.6840645E-02  2.3068284E-03  0.0000000E+00
  1.8000000E+01  2.2301174E-02  2.5801580E-03  2.1705100E-02  8.3634204E-04  0.0000000E+00
  1.8000000E+01  1.8435798E-02  1.7774782E-03  9.7139519E-03  2.1949729E-04  0.0000000E+00
  1.8000000E+01  2.6404152E-06  9.0962808E-10  2.0317587E-08  3.4085371E-06  0.0000000E+00
  1.8000000E+01  2.8729990E-02  1.5375499E-02  2.7269771E-02  2.4015255E-03  0.0000000E+00
  1.8000000E+01  2.2370760E-02  2.8429950E-03  2.0955667E-02  8.2836902E-04  0.0000000E+00
  1.8000000E+01  1.7515746E-02  1.9603050E-03  9.2470329E-03  2.1525082E-04  0.0000000E+00
  1.8000000E+01  2.5855519E-06  1.1139600E-09  1.8942787E-08  3.3899972E-06  0.0000000E+00
  1.8000000E+01  2.7221065E-02  1.6554965E-02  2.7568622E-02  2.4881491E-03  0.0000000E+00
  1.8000000E+01  2.2482658E-02  3.0811764E-03  2.0289287E-02  8.1945767E-04  0.0000000E+00
  1.8000000E+01  1.5731862E-02  2.1449105E-03  9.0699173E-03  2.1003442E-04  0.0000000E+00
  1.8000000E+01  2.4867112E-06  1.3312181E-09  1.7637904E-08  3.4385554E-06  0.0000000E+00
  1.8000000E+01  2.5549851E-02  1.7825606E-02  2.6690904E-02  2.5647004E-03  0.0000000E+00
  1.8000000E+01  2.2341368E-02  3.2964843E-03  1.9526225E-02  8.1041000E-04  0.0000000E+00
  1.8000000E+01  1.3783528E-02  2.3079573E-03  8.9345190E-03  2.0549571E-04  0.0000000E+00
  1.8000000E+01  2.3473033E-06  1.5581246E-09  1.6519213E-08  3.4075304E-06  0.0000000E+00
  1.8000000E+01  2.4509037E-02  1.9138888E-02  2.6381810E-02  2.6035642E-03  0.0000000E+00
  1.8000000E+01  2.2625959E-02  3.4905929E-03  1.8917896E-02  8.0005732E-04  0.0000000E+00
  1.8000000E+01  1.2324578E-02  2.4469101E-03  8.8197093E-03  2.0025394E-04  0.0000000E+00
  1.8000000E+01  2.2005688E-06  1.7906932E-09  1.5581352E-08  3.3953153E-06  0.0000000E+00
  1.8000000E+01  2.3642531E-02  2.0446595E-02  2.6474749E-02  2.6132143E-03  0.0000000E+00
  1.8000000E+01  2.3171260E-02  3.6605626E-03  1.8317337E-02  7.8963336E-04  0.0000000E+00
