          atime            Tm             uf             Tx             Ty             Tz 
  1.8000000E+01  8.3737565E-04  2.9004358E-02 -8.3043558E-04  1.7951693E-06  0.0000000E+00
  1.8000000E+01  2.0265271E-03  4.5016859E-02  2.0264911E-03 -2.0776872E-08  0.0000000E+00
  1.8000000E+01  1.9913766E-03  4.4625099E-02  1.9856531E-03  6.1278152E-08  0.0000000E+00
  1.8000000E+01 -8.7066094E-05 -3.0157268E-03  8.6344500E-05 -1.8665264E-07  0.0000000E+00
  1.8000000E+01 -2.1576977E-04 -4.7930655E-03 -2.1576594E-04  2.2121691E-09  0.0000000E+00
  1.8000000E+01 -2.1202719E-04 -4.7513538E-03 -2.1141780E-04 -6.5244489E-09  0.0000000E+00
  1.8000000E+01 -4.0542123E-05 -1.4042661E-03  4.0206115E-05 -8.6914367E-08  0.0000000E+00
  1.8000000E+01 -9.0394088E-05 -2.0079958E-03 -9.0392483E-05  9.2676102E-10  0.0000000E+00
  1.8000000E+01 -8.8826182E-05 -1.9905212E-03 -8.8570883E-05 -2.7333375E-09  0.0000000E+00
  1.8000000E+01  5.0797036E-05  1.7594677E-03 -5.0376036E-05  1.0889889E-07  0.0000000E+00
  1.8000000E+01  1.2507995E-04  2.7785003E-03  1.2507773E-04 -1.2823761E-09  0.0000000E+00
  1.8000000E+01  1.2291041E-04  2.7543204E-03  1.2255714E-04  3.7821690E-09  0.0000000E+00
  1.8000000E+01  2.7522020E-05  9.5328605E-04 -2.7293921E-05  5.9001817E-08  0.0000000E+00
  1.8000000E+01  6.0266098E-05  1.3387388E-03  6.0265028E-05 -6.1787526E-10  0.0000000E+00
  1.8000000E+01  5.9220769E-05  1.3270884E-03  5.9050560E-05  1.8223270E-09  0.0000000E+00
  1.8000000E+01 -2.3587047E-05 -8.1698955E-04  2.3391560E-05 -5.0566006E-08  0.0000000E+00
  1.8000000E+01 -6.1536341E-05 -1.3669557E-03 -6.1535248E-05  6.3089836E-10  0.0000000E+00
  1.8000000E+01 -6.0468979E-05 -1.3550597E-03 -6.0295182E-05 -1.8607366E-09  0.0000000E+00
  1.8000000E+01 -2.7941512E-05 -9.6781607E-04  2.7709936E-05 -5.9901125E-08  0.0000000E+00
  1.8000000E+01 -6.3643105E-05 -1.4137549E-03 -6.3641974E-05  6.5249786E-10  0.0000000E+00
  1.8000000E+01 -6.2539201E-05 -1.4014517E-03 -6.2359454E-05 -1.9244410E-09  0.0000000E+00
  1.8000000E+01  5.1590285E-06  1.7869436E-04 -5.1162710E-06  1.1059946E-08  0.0000000E+00
  1.8000000E+01  1.8990858E-05  4.2185903E-04  1.8990521E-05 -1.9470285E-10  0.0000000E+00
  1.8000000E+01  1.8661457E-05  4.1818780E-04  1.8607822E-05  5.7424580E-10  0.0000000E+00
  1.8000000E+01  2.2127575E-05  7.6643750E-04 -2.1944184E-05  4.7437183E-08  0.0000000E+00
  1.8000000E+01  5.2098087E-05  1.1572962E-03  5.2097162E-05 -5.3413312E-10  0.0000000E+00
  1.8000000E+01  5.1194434E-05  1.1472249E-03  5.1047294E-05  1.5753426E-09  0.0000000E+00
  1.8000000E+01  5.8166764E-07  2.0147345E-05 -5.7684684E-07  1.2469814E-09  0.0000000E+00
  1.8000000E+01 -6.1493239E-06 -1.3659982E-04 -6.1492147E-06  6.3045646E-11  0.0000000E+00
  1.8000000E+01 -6.0426625E-06 -1.3541106E-04 -6.0252950E-06 -1.8594333E-10  0.0000000E+00
  1.8000000E+01 -1.4680125E-05 -5.0847861E-04  1.4558458E-05 -3.1471311E-08  0.0000000E+00
  1.8000000E+01 -3.1887792E-05 -7.0834888E-04 -3.1887226E-05  3.2692805E-10  0.0000000E+00
  1.8000000E+01 -3.1334691E-05 -7.0218447E-04 -3.1244631E-05 -9.6422345E-10  0.0000000E+00
  1.8000000E+01  9.3762830E-06  3.2476830E-04 -9.2985734E-06  2.0100913E-08  0.0000000E+00
  1.8000000E+01  2.1264040E-05  4.7235503E-04  2.1263662E-05 -2.1800854E-10  0.0000000E+00
  1.8000000E+01  2.0895210E-05  4.6824436E-04  2.0835155E-05  6.4298230E-10  0.0000000E+00
  1.8000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.8000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
