          atime          uvcov          vwcov          wucov         pm1avg           tavg
  3.0000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  7.9760650E-01  0.0000000E+00
  3.0000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  7.7172099E-01  0.0000000E+00
  3.0000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  7.6591470E-01  0.0000000E+00
  3.0000000E+01 -9.9285499E-05  5.9716390E-05  5.6387532E-04  7.9762147E-01  0.0000000E+00
  3.0000000E+01 -1.1718313E-04 -3.8497686E-06 -4.2913430E-04  7.7168649E-01  0.0000000E+00
  3.0000000E+01 -1.1512950E-04 -1.0268752E-05  5.5141541E-06  7.6590102E-01  0.0000000E+00
  3.0000000E+01 -3.7451801E-04  1.4581550E-04  2.3109031E-03  7.9696212E-01  0.0000000E+00
  3.0000000E+01 -5.9735804E-04 -3.7295457E-05 -1.0118674E-03  7.7161073E-01  0.0000000E+00
  3.0000000E+01 -5.8823432E-04 -2.8523263E-05 -5.4925504E-04  7.6584266E-01  0.0000000E+00
  3.0000000E+01 -6.8246937E-04 -2.4828967E-05  3.4629737E-03  7.9596751E-01  0.0000000E+00
  3.0000000E+01 -1.2071831E-03 -1.0463646E-04 -1.5904845E-03  7.7146387E-01  0.0000000E+00
  3.0000000E+01 -1.2569620E-03 -4.9027115E-06 -1.9010579E-03  7.6570052E-01  0.0000000E+00
  3.0000000E+01 -9.6400342E-04 -3.3283036E-04  3.6767794E-03  7.9484732E-01  0.0000000E+00
  3.0000000E+01 -1.6000631E-03 -1.9494583E-04 -2.1026345E-03  7.7126085E-01  0.0000000E+00
  3.0000000E+01 -1.8452466E-03  8.2027788E-05 -3.3703826E-03  7.6547939E-01  0.0000000E+00
  3.0000000E+01 -1.2367034E-03 -6.1061399E-04  3.2761541E-03  7.9370440E-01  0.0000000E+00
  3.0000000E+01 -1.6140266E-03 -2.9078944E-04 -2.4860938E-03  7.7102766E-01  0.0000000E+00
  3.0000000E+01 -2.2024993E-03  2.1927309E-04 -4.3167290E-03  7.6520392E-01  0.0000000E+00
  3.0000000E+01 -1.5610855E-03 -7.8993556E-04  2.7587254E-03  7.9257156E-01  0.0000000E+00
  3.0000000E+01 -1.3282660E-03 -3.7336193E-04 -2.6716147E-03  7.7078356E-01  0.0000000E+00
  3.0000000E+01 -2.3502612E-03  3.7096888E-04 -4.5219648E-03  7.6490297E-01  0.0000000E+00
  3.0000000E+01 -1.9953905E-03 -9.0716709E-04  2.5200315E-03  7.9145229E-01  0.0000000E+00
  3.0000000E+01 -9.6649084E-04 -4.2518549E-04 -2.6215438E-03  7.7053538E-01  0.0000000E+00
  3.0000000E+01 -2.4093272E-03  4.9863207E-04 -4.1757828E-03  7.6460071E-01  0.0000000E+00
  3.0000000E+01 -2.5539445E-03 -1.0309240E-03  2.7382565E-03  7.9035506E-01  0.0000000E+00
  3.0000000E+01 -7.3524594E-04 -4.3151724E-04 -2.3718917E-03  7.7027966E-01  0.0000000E+00
  3.0000000E+01 -2.4803454E-03  5.8122527E-04 -3.6372795E-03  7.6431299E-01  0.0000000E+00
  3.0000000E+01 -3.1840817E-03 -1.1766078E-03  3.3627357E-03  7.8931071E-01  0.0000000E+00
  3.0000000E+01 -6.8534642E-04 -3.8161117E-04 -2.0355393E-03  7.7000888E-01  0.0000000E+00
  3.0000000E+01 -2.5509025E-03  6.2615980E-04 -3.1466741E-03  7.6404739E-01  0.0000000E+00
  3.0000000E+01 -3.7766194E-03 -1.2724371E-03  4.1493851E-03  7.8836265E-01  0.0000000E+00
  3.0000000E+01 -6.8458022E-04 -2.7098050E-04 -1.7242618E-03  7.6971762E-01  0.0000000E+00
  3.0000000E+01 -2.5021004E-03  6.6236193E-04 -2.6611867E-03  7.6380539E-01  0.0000000E+00
  3.0000000E+01 -4.2248781E-03 -1.2415427E-03  4.6862067E-03  7.8751945E-01  0.0000000E+00
  3.0000000E+01 -5.8983011E-04 -1.0580637E-04 -1.3472558E-03  7.6940466E-01  0.0000000E+00
  3.0000000E+01 -2.2876320E-03  7.0652679E-04 -1.9890966E-03  7.6358510E-01  0.0000000E+00
  3.0000000E+01 -4.4478657E-03 -1.1098335E-03  5.1849015E-03  7.8672032E-01  0.0000000E+00
  3.0000000E+01 -5.6134354E-04  8.7779506E-05 -7.9482864E-04  7.6907590E-01  0.0000000E+00
  3.0000000E+01 -2.1271567E-03  7.6559748E-04 -1.3800680E-03  7.6338708E-01  0.0000000E+00
  3.0000000E+01 -4.4916528E-03 -1.0191168E-03  5.8694271E-03  7.8598118E-01  0.0000000E+00
  3.0000000E+01 -5.7466818E-04  2.7228733E-04 -3.8025734E-04  7.6872603E-01  0.0000000E+00
  3.0000000E+01 -1.9717418E-03  7.9719738E-04 -8.5733388E-04  7.6321041E-01  0.0000000E+00
  3.0000000E+01 -4.4592760E-03 -1.1001717E-03  6.3478206E-03  7.8527481E-01  0.0000000E+00
  3.0000000E+01 -6.1082625E-04  4.2711008E-04 -1.0126991E-04  7.6836007E-01  0.0000000E+00
  3.0000000E+01 -1.8302770E-03  7.9077657E-04 -4.6480200E-04  7.6305177E-01  0.0000000E+00
  3.0000000E+01 -4.3837197E-03 -1.3496475E-03  6.4693677E-03  7.8455504E-01  0.0000000E+00
  3.0000000E+01 -6.3976266E-04  5.3704357E-04  2.6367547E-05  7.6798702E-01  0.0000000E+00
  3.0000000E+01 -1.7255045E-03  7.6140132E-04 -2.6416080E-04  7.6290446E-01  0.0000000E+00
  3.0000000E+01 -4.2676036E-03 -1.7069116E-03  6.2052029E-03  7.8378561E-01  0.0000000E+00
  3.0000000E+01 -6.3805888E-04  5.9465776E-04  1.3348881E-05  7.6761626E-01  0.0000000E+00
  3.0000000E+01 -1.6692567E-03  7.2629864E-04 -2.7206345E-04  7.6276157E-01  0.0000000E+00
  3.0000000E+01 -4.1024462E-03 -2.0947323E-03  5.6499713E-03  7.8295104E-01  0.0000000E+00
  3.0000000E+01 -6.0297844E-04  6.0114445E-04 -9.3407489E-05  7.6725557E-01  0.0000000E+00
  3.0000000E+01 -1.6573290E-03  6.9702774E-04 -4.5686236E-04  7.6261811E-01  0.0000000E+00
  3.0000000E+01 -3.8847065E-03 -2.4457301E-03  4.9775658E-03  7.8205531E-01  0.0000000E+00
  3.0000000E+01 -5.5133512E-04  5.6522787E-04 -2.2333960E-04  7.6690954E-01  0.0000000E+00
  3.0000000E+01 -1.6719227E-03  6.7695667E-04 -7.5002474E-04  7.6247181E-01  0.0000000E+00
  3.0000000E+01 -3.6260568E-03 -2.7161065E-03  4.3747284E-03  7.8111324E-01  0.0000000E+00
  3.0000000E+01 -5.0919104E-04  5.0059367E-04 -3.0769038E-04  7.6657844E-01  0.0000000E+00
  3.0000000E+01 -1.6887154E-03  6.6247517E-04 -1.0668085E-03  7.6232283E-01  0.0000000E+00
  3.0000000E+01 -3.3553353E-03 -2.8881563E-03  3.9763059E-03  7.8013979E-01  0.0000000E+00
  3.0000000E+01 -4.9839182E-04  4.2229220E-04 -3.0834531E-04  7.6625807E-01  0.0000000E+00
  3.0000000E+01 -1.6856153E-03  6.4637451E-04 -1.3307776E-03  7.6217301E-01  0.0000000E+00
