"EP3 Case 1, Bldg = (1,1,1,0), Centerplane velocities (y=0), U & W",,,
,,,
,,,
"x, mm","z, mm","U, m/s","W, m/s"
-800,0,0.000,0.000
-600,0,0.000,0.000
-400,0,0.000,0.000
-300,0,0.000,0.000
-200,0,0.000,0.000
-150,0,0.000,0.000
-120,0,0.000,0.000
-100,0,0.000,0.000
100,0,0.000,0.000
120,0,0.000,0.000
150,0,0.000,0.000
200,0,0.000,0.000
300,0,0.000,0.000
400,0,0.000,0.000
600,0,0.000,0.000
800,0,0.000,0.000
1200,0,0.000,0.000
1600,0,0.000,0.000
-800,20,1.784,-0.004
-600,20,1.680,0.007
-400,20,1.375,0.028
-300,20,1.064,0.027
-200,20,0.107,0.164
-150,20,0.029,-0.702
-120,20,-0.223,-0.978
-100,20,0.000,0.000
100,20,0.000,0.000
120,20,-0.408,0.006
150,20,-0.658,0.141
200,20,-0.783,0.070
300,20,-0.383,0.029
400,20,0.194,-0.045
600,20,0.958,-0.064
800,20,1.274,-0.037
1200,20,1.576,-0.012
1600,20,1.685,0.004
-800,40,2.181,-0.003
-600,40,2.117,0.034
-400,40,1.835,0.058
-300,40,1.572,0.051
-200,40,1.153,0.071
-150,40,0.723,-0.727
-120,40,0.219,-1.010
-100,40,0.000,0.000
100,40,0.000,0.000
120,40,-0.396,0.142
150,40,-0.641,0.156
200,40,-0.753,0.058
300,40,-0.297,-0.002
400,40,0.260,-0.083
600,40,1.076,-0.068
800,40,1.425,-0.082
1200,40,1.765,-0.052
1600,40,1.943,-0.018
-800,60,2.428,-0.001
-600,60,2.371,0.027
-400,60,2.163,0.043
-300,60,1.869,0.069
-200,60,1.533,-0.008
-150,60,0.979,-0.601
-120,60,0.427,-0.939
-100,60,0.000,0.000
100,60,0.000,0.000
120,60,-0.338,0.283
150,60,-0.584,0.178
200,60,-0.710,0.058
300,60,-0.230,-0.031
400,60,0.369,-0.077
600,60,1.174,-0.112
800,60,1.577,-0.080
1200,60,1.895,-0.055
1600,60,2.108,-0.025
-800,80,2.640,-0.012
-600,80,2.504,0.006
-400,80,2.340,0.042
-300,80,2.076,0.087
-200,80,1.700,-0.024
-150,80,1.083,-0.444
-120,80,0.519,-0.776
-100,80,0.000,0.000
100,80,0.000,0.000
120,80,-0.291,0.375
150,80,-0.528,0.224
200,80,-0.602,0.034
300,80,-0.110,-0.076
400,80,0.512,-0.141
600,80,1.315,-0.133
800,80,1.707,-0.078
1200,80,2.113,-0.049
1600,80,2.218,-0.039
-800,100,2.728,-0.011
-600,100,2.634,-0.008
-400,100,2.508,0.036
-300,100,2.330,0.083
-200,100,1.776,0.026
