          atime           uavg           vavg           wavg         pm1avg           tavg
  1.8000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  7.9438211E-01  0.0000000E+00
  1.8000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.0571459E-01  0.0000000E+00
  1.8000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.1817821E-01  0.0000000E+00
  1.8000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.9323502E-01  0.0000000E+00
  1.8000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  9.1735879E-01  0.0000000E+00
  1.8000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  9.4236041E-01  0.0000000E+00
  1.8000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  9.6892260E-01  0.0000000E+00
  1.8000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.8000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.8000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.8000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.7500644E-01  0.0000000E+00
  1.8000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.4699959E-01  0.0000000E+00
  1.8000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.2264931E-01  0.0000000E+00
  1.8000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.1476387E-01  0.0000000E+00
  1.8000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.7011725E-01  0.0000000E+00
  1.8000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.1774243E-01  0.0000000E+00
  1.8000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.6353430E-01  0.0000000E+00
  1.8000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.0241885E-01  0.0000000E+00
  1.8000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  7.8714362E-01  0.0000000E+00
  1.8000000E+01  1.7730454E-02  1.0525081E-05 -9.7612769E-05  7.9438232E-01  0.0000000E+00
  1.8000000E+01 -3.2559056E-04  9.4648532E-06 -1.7641266E-04  8.0571482E-01  0.0000000E+00
  1.8000000E+01 -5.7425000E-02  8.4812529E-04  1.8646239E-03  8.1814629E-01  0.0000000E+00
  1.8000000E+01  5.8473302E-03 -1.3388696E-04 -1.8776170E-02  8.9328014E-01  0.0000000E+00
  1.8000000E+01 -4.5931560E-03 -1.5539539E-03  1.4698021E-03  9.1729744E-01  0.0000000E+00
  1.8000000E+01 -4.8401347E-02  1.4344614E-04 -2.0527901E-03  9.4240802E-01  0.0000000E+00
  1.8000000E+01 -1.9757585E-01 -1.2962383E-03 -1.0429457E-02  9.6914371E-01  0.0000000E+00
  1.8000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.8000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.8000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.8000000E+01 -3.4695179E-03 -2.2624889E-04 -2.6339441E-02  5.7496206E-01  0.0000000E+00
  1.8000000E+01 -7.1473851E-02  7.2552483E-04  2.6496520E-03  5.4692898E-01  0.0000000E+00
  1.8000000E+01 -1.3366759E-01 -3.9245384E-04  1.3707312E-02  5.2265967E-01  0.0000000E+00
  1.8000000E+01 -1.6043424E-01 -9.8291828E-05  1.8514373E-02  5.1479708E-01  0.0000000E+00
  1.8000000E+01 -2.3732723E-01 -1.9083401E-03  9.1435214E-03  5.6976852E-01  0.0000000E+00
  1.8000000E+01 -5.1758386E-02  2.1493282E-03  4.4259627E-03  8.1822396E-01  0.0000000E+00
  1.8000000E+01  1.7348739E-01 -1.3015811E-03  2.4765812E-02  8.6327467E-01  0.0000000E+00
  1.8000000E+01  1.8419236E-01 -8.5851396E-04 -4.0316377E-04  8.0239227E-01  0.0000000E+00
  1.8000000E+01  1.8513280E-01 -8.2681202E-04 -1.1447771E-02  7.8714231E-01  0.0000000E+00
  1.8000000E+01  3.7543140E-02  4.1605917E-05 -1.7564119E-04  7.9438255E-01  0.0000000E+00
  1.8000000E+01  2.6538193E-03  4.1886071E-05 -3.2221433E-04  8.0571507E-01  0.0000000E+00
  1.8000000E+01 -8.9100483E-02  2.6275355E-03  1.4625762E-03  8.1801521E-01  0.0000000E+00
  1.8000000E+01  1.8814898E-02 -4.7531651E-04 -2.3614558E-02  8.9301440E-01  0.0000000E+00
  1.8000000E+01  1.2504301E-03 -4.3338629E-03  1.9547993E-03  9.1714919E-01  0.0000000E+00
  1.8000000E+01 -6.6546836E-02 -6.7390662E-05 -3.7537237E-03  9.4217088E-01  0.0000000E+00
  1.8000000E+01 -2.6213823E-01 -5.0418869E-03 -1.4597768E-02  9.6826610E-01  0.0000000E+00
  1.8000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.8000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.8000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.8000000E+01 -2.3452252E-02  1.4663565E-05 -3.5545496E-02  5.7472293E-01  0.0000000E+00
