          atime           uavg           vavg           wavg         pm1avg           tavg
  1.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  7.9165152E-01  0.0000000E+00
  1.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.0212341E-01  0.0000000E+00
  1.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  7.9520500E-01  0.0000000E+00
  1.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.9475608E-01  0.0000000E+00
  1.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  9.2733892E-01  0.0000000E+00
  1.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  9.0667163E-01  0.0000000E+00
  1.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.0050625E+00  0.0000000E+00
  1.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.4746417E-01  0.0000000E+00
  1.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.2890118E-01  0.0000000E+00
  1.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.3890781E-01  0.0000000E+00
  1.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.1465895E-01  0.0000000E+00
  1.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.4274352E-01  0.0000000E+00
  1.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.5748158E-01  0.0000000E+00
  1.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.5356734E-01  0.0000000E+00
  1.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  7.6383895E-01  0.0000000E+00
  1.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  7.2080300E-01  0.0000000E+00
  1.0000000E+00  1.8186701E-02  1.0063879E-05 -1.9355855E-04  7.9165172E-01  0.0000000E+00
  1.0000000E+00  1.0460913E-03  8.8446566E-06 -3.7543927E-04  8.0212366E-01  0.0000000E+00
  1.0000000E+00 -1.4112871E-01  1.4010303E-03 -3.5663821E-03  7.9528123E-01  0.0000000E+00
  1.0000000E+00 -9.0546782E-03 -1.8748516E-04 -2.5070874E-03  8.9475600E-01  0.0000000E+00
  1.0000000E+00  6.0791137E-02 -5.0190677E-04 -1.8351615E-03  9.2722995E-01  0.0000000E+00
  1.0000000E+00 -1.7289855E-01 -6.9766191E-04 -7.3358804E-03  9.0678977E-01  0.0000000E+00
  1.0000000E+00 -2.9690762E-02 -3.7006970E-03 -1.3680168E-02  1.0050362E+00  0.0000000E+00
  1.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.0000000E+00  8.0073089E-03  1.7805648E-03 -8.0567742E-02  5.4802196E-01  0.0000000E+00
  1.0000000E+00 -3.1942832E-02  3.0627444E-03 -6.6504678E-02  5.2916860E-01  0.0000000E+00
  1.0000000E+00 -4.5781629E-02  2.2229970E-03 -3.9014710E-02  5.3882245E-01  0.0000000E+00
  1.0000000E+00 -1.5155375E-03 -1.7952675E-03  2.8617835E-02  5.1432354E-01  0.0000000E+00
  1.0000000E+00 -2.7769123E-01  3.8710154E-03  1.5882166E-01  5.4431913E-01  0.0000000E+00
  1.0000000E+00  1.6164198E-01  1.2837322E-03  1.3207394E-01  8.5778816E-01  0.0000000E+00
