          atime          uvcov          vwcov          wucov         pm1avg           tavg
  1.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  7.9165152E-01  0.0000000E+00
  1.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.0212341E-01  0.0000000E+00
  1.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  7.9520500E-01  0.0000000E+00
  1.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.9475608E-01  0.0000000E+00
  1.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  9.2733892E-01  0.0000000E+00
  1.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  9.0667163E-01  0.0000000E+00
  1.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.0050625E+00  0.0000000E+00
  1.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.4746417E-01  0.0000000E+00
  1.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.2890118E-01  0.0000000E+00
  1.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.3890781E-01  0.0000000E+00
  1.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.1465895E-01  0.0000000E+00
  1.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.4274352E-01  0.0000000E+00
  1.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.5748158E-01  0.0000000E+00
  1.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.5356734E-01  0.0000000E+00
  1.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  7.6383895E-01  0.0000000E+00
  1.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  7.2080300E-01  0.0000000E+00
  1.0000000E+00  3.3675919E-13 -3.5164039E-06  3.5164791E-06  7.9165172E-01  0.0000000E+00
  1.0000000E+00 -1.9120673E-11 -3.8994409E-07  3.8757094E-07  8.0212366E-01  0.0000000E+00
  1.0000000E+00  1.5756473E-04  5.8765689E-04 -5.0029662E-04  7.9528123E-01  0.0000000E+00
  1.0000000E+00 -9.7984575E-07  1.6590784E-05 -2.1585013E-05  8.9475600E-01  0.0000000E+00
  1.0000000E+00 -2.9647708E-05  3.4622102E-06  1.1424230E-04  9.2722995E-01  0.0000000E+00
  1.0000000E+00 -4.0569235E-05  1.4377653E-03 -1.2347544E-03  9.0678977E-01  0.0000000E+00
  1.0000000E+00  3.1264323E-05  4.9565655E-04 -3.1999551E-04  1.0050362E+00  0.0000000E+00
  1.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.0000000E+00 -8.4986006E-05 -9.7090913E-04  4.3117378E-04  5.4802196E-01  0.0000000E+00
  1.0000000E+00  1.8402356E-05  2.2512976E-03 -2.3339415E-03  5.2916860E-01  0.0000000E+00
  1.0000000E+00  3.7139919E-05  2.6825284E-03 -1.8599820E-03  5.3882245E-01  0.0000000E+00
  1.0000000E+00 -7.0055458E-05  5.8028677E-05  9.8220463E-05  5.1432354E-01  0.0000000E+00
  1.0000000E+00 -4.4635368E-04 -5.0977555E-02  4.3371790E-02  5.4431913E-01  0.0000000E+00
  1.0000000E+00  1.0229198E-04  2.5540782E-02 -2.1190217E-02  8.5778816E-01  0.0000000E+00
