          atime             vx             vy             vz             pr              t
  1.7868677E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4694363E+00  1.9812676E-14
  1.7868677E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4697313E+00  1.2452565E-14
  1.7868677E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4704028E+00  1.9358467E-14
  1.7868677E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4714121E+00  1.9335066E-14
  1.7868677E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4726920E+00  5.2971839E-15
  1.7868677E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4741370E+00  2.0617975E-15
  1.7868677E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4756018E+00  5.7708551E-16
  1.7868677E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4769080E+00  6.7441195E-16
  1.7868677E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4778689E+00 -1.7439703E-16
  1.7868677E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4783294E+00  3.9574513E-15
  1.7868677E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4782078E+00  4.1414770E-15
  1.7868677E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4775214E+00 -9.0352929E-17
  1.7868677E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4763824E+00  4.3467014E-16
  1.7868677E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4749665E+00  6.4291348E-16
  1.7868677E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4734683E+00  2.4023227E-15
  1.7868677E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4720629E+00  5.4589191E-15
  1.7868677E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4708852E+00  1.9218354E-14
  1.7868677E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4700254E+00  1.9187431E-14
  1.7868677E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4695347E+00  1.2485277E-14
  1.7868677E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4694363E+00  1.9812676E-14
  1.7868677E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4684688E+00  9.7124367E-16
  1.7868677E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4688695E+00 -1.5623831E-16
  1.7868677E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4697830E+00  2.8163395E-16
  1.7868677E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4711725E+00  2.4418150E-16
  1.7868677E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4729664E+00  1.2723736E-16
  1.7868677E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4750362E+00  4.0668856E-16
  1.7868677E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4771836E+00  9.6104157E-16
  1.7868677E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4791413E+00  1.2158454E-15
  1.7868677E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4806095E+00  9.1456585E-14
  1.7868677E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4813252E+00 -7.3083256E-13
  1.7868677E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4811441E+00 -7.2897366E-13
  1.7868677E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4800941E+00  9.1426993E-14
  1.7868677E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4783682E+00  1.3556600E-15
  1.7868677E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4762593E+00  7.9992462E-16
  1.7868677E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4740752E+00  3.5751665E-16
