          atime          uvcov          vwcov          wucov         pm1avg           tavg
  1.4400000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.2106048E-01  0.0000000E+00
  1.4400000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.2250000E-01  0.0000000E+00
  1.4400000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.2454572E-01  0.0000000E+00
  1.4400000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.3454857E-01  0.0000000E+00
  1.4400000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.3936876E-01  0.0000000E+00
  1.4400000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.2769705E-01  0.0000000E+00
  1.4400000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.7489643E-01  0.0000000E+00
  1.4400000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.4400000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.4400000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.4400000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.2934478E-01  0.0000000E+00
  1.4400000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.1629339E-01  0.0000000E+00
  1.4400000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.1318222E-01  0.0000000E+00
  1.4400000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.0926196E-01  0.0000000E+00
  1.4400000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.6267406E-01  0.0000000E+00
  1.4400000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.5035856E-01  0.0000000E+00
  1.4400000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.4509054E-01  0.0000000E+00
  1.4400000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.2802680E-01  0.0000000E+00
  1.4400000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.3585571E-01  0.0000000E+00
  1.4400000E+00  7.6213274E-12 -3.2148938E-07  3.2123750E-07  4.2106060E-01  0.0000000E+00
  1.4400000E+00 -2.0575187E-10  2.2793610E-06 -2.2794268E-06  4.2249940E-01  0.0000000E+00
  1.4400000E+00 -1.3470248E-06 -3.4068786E-05  1.0419761E-05  4.2455714E-01  0.0000000E+00
  1.4400000E+00  1.0595635E-05 -1.5887947E-04  5.1672795E-05  4.3444487E-01  0.0000000E+00
  1.4400000E+00  3.0913858E-06  2.2233598E-05 -4.9387972E-05  4.3931633E-01  0.0000000E+00
  1.4400000E+00  9.5026553E-06 -1.2741280E-03  1.2872469E-03  4.2760947E-01  0.0000000E+00
  1.4400000E+00  2.2716158E-04 -9.3224532E-03  9.6046070E-03  4.7452193E-01  0.0000000E+00
  1.4400000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.4400000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.4400000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.4400000E+00  1.5141079E-05 -1.2063424E-04  9.1475317E-05  3.2916829E-01  0.0000000E+00
  1.4400000E+00  6.0622297E-05 -3.2918760E-03  2.8709794E-03  3.1635221E-01  0.0000000E+00
  1.4400000E+00  3.7603481E-05  2.0183928E-03 -1.7412988E-03  3.1317553E-01  0.0000000E+00
  1.4400000E+00  1.4524508E-04 -3.3040620E-03  3.0270120E-03  3.0923577E-01  0.0000000E+00
  1.4400000E+00  4.3089610E-05  5.8958867E-03 -6.6081575E-03  3.6281472E-01  0.0000000E+00
  1.4400000E+00 -3.6523534E-05  5.3175147E-04  8.3843954E-05  4.5038803E-01  0.0000000E+00
  1.4400000E+00 -1.4755797E-04  1.9203364E-04 -3.1269429E-04  4.4537807E-01  0.0000000E+00
  1.4400000E+00 -6.0073228E-06 -3.2805188E-05  1.3951469E-04  4.2800498E-01  0.0000000E+00
  1.4400000E+00 -2.6340123E-04  9.2379919E-05  3.7185281E-04  4.3563529E-01  0.0000000E+00
  1.4400000E+00  8.0617748E-11 -1.1874308E-06  1.1868524E-06  4.2106064E-01  0.0000000E+00
  1.4400000E+00 -1.7233190E-09  7.8391802E-06 -7.8391847E-06  4.2249802E-01  0.0000000E+00
  1.4400000E+00 -1.0472628E-05 -1.0079206E-04  1.6708752E-05  4.2456813E-01  0.0000000E+00
  1.4400000E+00  5.3360087E-05 -2.9123660E-04  9.3680362E-05  4.3435742E-01  0.0000000E+00
  1.4400000E+00  1.2205820E-05 -4.4018170E-05 -3.5461370E-05  4.3932373E-01  0.0000000E+00
  1.4400000E+00  1.8712612E-05 -4.2374368E-03  4.1843868E-03  4.2762915E-01  0.0000000E+00
  1.4400000E+00  6.5102882E-04 -1.3025486E-02  1.4855830E-02  4.7390073E-01  0.0000000E+00
  1.4400000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.4400000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
