          atime          uvari          vvari          wvari          pvari          tvari
  1.4400000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4634509E-07  0.0000000E+00
  1.4400000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.7051333E-07  0.0000000E+00
  1.4400000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.8790817E-07  0.0000000E+00
  1.4400000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.8250576E-06  0.0000000E+00
  1.4400000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.3821656E-06  0.0000000E+00
  1.4400000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.0440895E-06  0.0000000E+00
  1.4400000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.5528505E-05  0.0000000E+00
  1.4400000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.4400000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.4400000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.4400000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.2398924E-05  0.0000000E+00
  1.4400000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.7211363E-05  0.0000000E+00
  1.4400000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  7.9110022E-06  0.0000000E+00
  1.4400000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.5568695E-05  0.0000000E+00
  1.4400000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.7315726E-05  0.0000000E+00
  1.4400000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  9.5366151E-06  0.0000000E+00
  1.4400000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.8650810E-04  0.0000000E+00
  1.4400000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.9845882E-06  0.0000000E+00
  1.4400000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.8910839E-04  0.0000000E+00
  1.4400000E+00  7.1654781E-09  1.1235499E-14  9.5955136E-12  1.4225466E-07  0.0000000E+00
  1.4400000E+00  5.6604096E-11  3.5019875E-11  6.1356893E-10  1.6234054E-07  0.0000000E+00
  1.4400000E+00  2.7798826E-05  3.1862313E-07  2.7351475E-05  4.8951854E-07  0.0000000E+00
  1.4400000E+00  1.2378362E-04  3.6853172E-06  1.1481350E-04  2.5893847E-06  0.0000000E+00
  1.4400000E+00  7.1489017E-05  3.5965033E-07  1.4673313E-05  7.9953672E-06  0.0000000E+00
  1.4400000E+00  2.3377653E-04  1.7995327E-06  1.3687411E-04  3.0803326E-06  0.0000000E+00
  1.4400000E+00  2.3071951E-03  1.0384039E-04  3.4736782E-03  7.6344816E-05  0.0000000E+00
  1.4400000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.4400000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.4400000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.4400000E+00  3.8279408E-04  4.2567556E-06  4.0857607E-04  1.1827534E-05  0.0000000E+00
  1.4400000E+00  9.6180410E-04  6.8221270E-06  8.4626394E-04  1.6721191E-05  0.0000000E+00
  1.4400000E+00  3.4509848E-04  4.4537608E-06  8.2107020E-04  7.8150840E-06  0.0000000E+00
  1.4400000E+00  2.2019986E-03  2.5715124E-05  6.3886295E-04  3.6298850E-05  0.0000000E+00
  1.4400000E+00  1.1262669E-03  8.6448638E-06  2.1846075E-03  1.5555805E-05  0.0000000E+00
  1.4400000E+00  8.5074870E-04  2.7502358E-06  5.5716262E-04  9.8804029E-06  0.0000000E+00
  1.4400000E+00  1.4814052E-03  4.3316381E-05  1.4770069E-03  1.9278695E-04  0.0000000E+00
  1.4400000E+00  2.9074714E-04  1.7281017E-07  7.0894366E-05  5.9849311E-06  0.0000000E+00
  1.4400000E+00  2.4298893E-03  3.3944258E-05  3.1996731E-04  2.8055986E-04  0.0000000E+00
  1.4400000E+00  2.2281929E-08  3.1317808E-13  1.7089214E-11  1.4834814E-07  0.0000000E+00
  1.4400000E+00  1.7462319E-09  4.9623078E-10  7.5125801E-10  1.5318009E-07  0.0000000E+00
  1.4400000E+00  1.1931375E-04  2.1807825E-06  7.6408532E-05  5.0557610E-07  0.0000000E+00
  1.4400000E+00  2.2540719E-04  2.9260433E-05  2.2819329E-04  2.5348047E-06  0.0000000E+00
  1.4400000E+00  1.2134089E-04  2.7177428E-06  5.1921818E-05  8.0453317E-06  0.0000000E+00
  1.4400000E+00  1.6657478E-04  1.2447715E-05  2.8003766E-04  3.1219788E-06  0.0000000E+00
  1.4400000E+00  2.8011091E-03  6.3567391E-04  5.0744974E-03  7.7912659E-05  0.0000000E+00
  1.4400000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.4400000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
