          atime           uavg           vavg           wavg         pm1avg           tavg
  4.3380000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  7.8805089E-01  0.0000000E+00
  4.3380000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.0026407E-01  0.0000000E+00
  4.3380000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.2426422E-01  0.0000000E+00
  4.3380000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.8021322E-01  0.0000000E+00
  4.3380000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  9.0277797E-01  0.0000000E+00
  4.3380000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  9.5880847E-01  0.0000000E+00
  4.3380000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.0007532E+00  0.0000000E+00
  4.3380000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  4.3380000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  4.3380000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  4.3380000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.0212108E-01  0.0000000E+00
  4.3380000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.9894010E-01  0.0000000E+00
  4.3380000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.7667842E-01  0.0000000E+00
  4.3380000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.7134967E-01  0.0000000E+00
  4.3380000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.2933000E-01  0.0000000E+00
  4.3380000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  7.5729777E-01  0.0000000E+00
  4.3380000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  7.8859176E-01  0.0000000E+00
  4.3380000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  7.8995552E-01  0.0000000E+00
  4.3380000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  7.7667879E-01  0.0000000E+00
  4.3380000E+00  1.7294218E-02  3.3948399E-06 -6.6880818E-04  7.8805108E-01  0.0000000E+00
  4.3380000E+00 -1.0064499E-03  5.6227322E-05 -1.5621833E-03  8.0026493E-01  0.0000000E+00
  4.3380000E+00 -3.3846924E-02  4.2167142E-04 -3.9624121E-03  8.2426481E-01  0.0000000E+00
  4.3380000E+00 -3.9546804E-02 -3.9392177E-03 -8.8360620E-03  8.8007715E-01  0.0000000E+00
  4.3380000E+00 -1.1970871E-01 -2.5049481E-04 -1.1794048E-02  9.0261016E-01  0.0000000E+00
  4.3380000E+00 -6.2487121E-02  1.5242276E-03 -1.8899365E-02  9.5857189E-01  0.0000000E+00
  4.3380000E+00 -1.3277779E-01 -1.0969248E-03 -2.4439979E-02  1.0007427E+00  0.0000000E+00
  4.3380000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  4.3380000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  4.3380000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  4.3380000E+00  9.2751826E-03 -6.4716694E-04 -1.4291362E-01  5.0244571E-01  0.0000000E+00
  4.3380000E+00 -2.5043981E-02  7.1495691E-05 -7.0975969E-02  4.9886784E-01  0.0000000E+00
  4.3380000E+00 -5.1543314E-02  1.6949167E-03  6.6543392E-03  4.7682942E-01  0.0000000E+00
  4.3380000E+00 -6.8886347E-02 -5.0436849E-04  8.2266522E-02  4.7147579E-01  0.0000000E+00
  4.3380000E+00 -1.4201671E-01 -1.0727008E-03  1.9857859E-01  5.2937538E-01  0.0000000E+00
  4.3380000E+00 -5.3289638E-02  2.5318456E-03 -2.0303844E-02  7.5752724E-01  0.0000000E+00
  4.3380000E+00  7.8047007E-02 -2.4158551E-04 -2.9865914E-02  7.8899549E-01  0.0000000E+00
  4.3380000E+00  1.4491320E-01 -4.2708812E-04 -1.6047345E-02  7.8993176E-01  0.0000000E+00
  4.3380000E+00  1.9512329E-01 -3.6689353E-04 -9.9573396E-03  7.7664986E-01  0.0000000E+00
  4.3380000E+00  3.6576691E-02  1.5394705E-05 -1.1917855E-03  7.8805105E-01  0.0000000E+00
  4.3380000E+00  3.1130470E-03  1.8451464E-04 -2.8022804E-03  8.0026485E-01  0.0000000E+00
  4.3380000E+00 -6.0900197E-02  1.4125454E-03 -7.1564979E-03  8.2425153E-01  0.0000000E+00
  4.3380000E+00 -7.8144471E-02 -1.1860247E-02 -1.4431444E-02  8.7949422E-01  0.0000000E+00
  4.3380000E+00 -1.9493278E-01 -2.6456675E-04 -1.9063372E-02  9.0249727E-01  0.0000000E+00
  4.3380000E+00 -1.0577799E-01  5.2051649E-03 -2.7923912E-02  9.5845322E-01  0.0000000E+00
  4.3380000E+00 -1.8411651E-01 -4.0217989E-03 -3.6306433E-02  1.0006705E+00  0.0000000E+00
  4.3380000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  4.3380000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  4.3380000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
