          atime          uvcov          vwcov          wucov         pm1avg           tavg
  1.5000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  7.9198448E-01  0.0000000E+00
  1.5000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.0414221E-01  0.0000000E+00
  1.5000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.5899744E-01  0.0000000E+00
  1.5000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  9.0940961E-01  0.0000000E+00
  1.5000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  9.3219740E-01  0.0000000E+00
  1.5000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.0257665E+00  0.0000000E+00
  1.5000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.1487691E+00  0.0000000E+00
  1.5000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.5000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.5000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.5000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.5000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.5000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  6.2580470E-01  0.0000000E+00
  1.5000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  6.0151942E-01  0.0000000E+00
  1.5000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.7298398E-01  0.0000000E+00
  1.5000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.9965721E-01  0.0000000E+00
  1.5000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  7.1095629E-01  0.0000000E+00
  1.5000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.1007072E-01  0.0000000E+00
  1.5000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  7.9545651E-01  0.0000000E+00
  1.5000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  7.7065191E-01  0.0000000E+00
  1.5000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  7.6086805E-01  0.0000000E+00
  1.5000000E+01 -2.5610640E-11 -6.6769286E-12  1.0846800E-08  7.9198470E-01  0.0000000E+00
  1.5000000E+01  1.5720733E-10  8.4884363E-11  5.8059108E-08  8.0414241E-01  0.0000000E+00
  1.5000000E+01  1.9462022E-05 -3.8307353E-07 -6.6492944E-05  8.5898235E-01  0.0000000E+00
  1.5000000E+01 -1.5551162E-05  2.5571854E-07 -1.0775711E-04  9.0940278E-01  0.0000000E+00
  1.5000000E+01 -1.5381568E-04 -3.8312431E-05  1.7715721E-03  9.3174391E-01  0.0000000E+00
  1.5000000E+01  1.0711341E-04 -6.7178379E-06 -4.8145920E-04  1.0257135E+00  0.0000000E+00
  1.5000000E+01  1.4069238E-04  6.3853622E-05  2.5394714E-04  1.1488122E+00  0.0000000E+00
  1.5000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.5000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.5000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.5000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.5000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.5000000E+01 -7.1580179E-05 -1.4066700E-04  1.7309324E-03  6.2601159E-01  0.0000000E+00
  1.5000000E+01  8.8952285E-05  4.8803059E-05  4.0296448E-04  6.0156121E-01  0.0000000E+00
  1.5000000E+01  2.1446169E-04  1.3694567E-04  1.0664337E-03  5.7302070E-01  0.0000000E+00
  1.5000000E+01  2.9160466E-04 -6.9099960E-05  2.0825469E-03  5.9963888E-01  0.0000000E+00
  1.5000000E+01  2.2897043E-04 -8.5556542E-05 -3.9844748E-03  7.1072671E-01  0.0000000E+00
  1.5000000E+01 -2.0322909E-04  2.2216190E-04 -6.0049444E-04  8.1027223E-01  0.0000000E+00
  1.5000000E+01 -2.9747338E-04  5.0294749E-05 -2.7594137E-03  7.9541217E-01  0.0000000E+00
  1.5000000E+01 -6.3081254E-05  1.3804874E-07 -3.6631334E-04  7.7066318E-01  0.0000000E+00
  1.5000000E+01 -4.7417673E-05 -1.5526078E-05 -5.1052303E-04  7.6086040E-01  0.0000000E+00
