          atime          uvari          vvari          wvari          pvari          tvari
  1.5000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.0680962E-06  0.0000000E+00
  1.5000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.3510287E-06  0.0000000E+00
  1.5000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.2898141E-03  0.0000000E+00
  1.5000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.2791857E-03  0.0000000E+00
  1.5000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.2527219E-03  0.0000000E+00
  1.5000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.3028698E-04  0.0000000E+00
  1.5000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.5331323E-04  0.0000000E+00
  1.5000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.5000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.5000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.5000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.5000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.5000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  7.4868561E-04  0.0000000E+00
  1.5000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.4441737E-04  0.0000000E+00
  1.5000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.8549034E-04  0.0000000E+00
  1.5000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.3916107E-03  0.0000000E+00
  1.5000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.3969575E-03  0.0000000E+00
  1.5000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.0406200E-03  0.0000000E+00
  1.5000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  7.7589153E-04  0.0000000E+00
  1.5000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.4324004E-04  0.0000000E+00
  1.5000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.6831851E-04  0.0000000E+00
  1.5000000E+01  3.3982979E-08  3.2478524E-14  6.2132984E-09  3.0495929E-06  0.0000000E+00
  1.5000000E+01  2.5815635E-07 -1.9538745E-13  4.1753000E-08  4.2897016E-06  0.0000000E+00
  1.5000000E+01  1.0994634E-02  1.0904296E-05  1.0102885E-06  1.2757046E-03  0.0000000E+00
  1.5000000E+01  9.3575360E-03  6.9957969E-06  7.7214995E-06  1.2699862E-03  0.0000000E+00
  1.5000000E+01  8.6215617E-03  2.7727069E-04  7.4176355E-03  2.1126895E-03  0.0000000E+00
  1.5000000E+01  4.0377393E-03  1.6889648E-05  1.4962022E-03  8.2491502E-04  0.0000000E+00
  1.5000000E+01  2.0476566E-03  1.0900505E-04  3.1676317E-03  2.4153879E-04  0.0000000E+00
  1.5000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.5000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.5000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.5000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.5000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.5000000E+01  5.3463739E-03  8.5154739E-05  5.4323423E-03  7.4422758E-04  0.0000000E+00
  1.5000000E+01  3.1279693E-03  6.0016620E-05  4.1589637E-03  5.2026831E-04  0.0000000E+00
  1.5000000E+01  5.9684958E-03  8.0730196E-05  9.2342001E-03  5.7444420E-04  0.0000000E+00
  1.5000000E+01  1.3084863E-02  1.2117247E-04  9.7192623E-03  1.3781880E-03  0.0000000E+00
  1.5000000E+01  1.0634821E-02  1.5495267E-04  1.1282945E-02  1.3764998E-03  0.0000000E+00
  1.5000000E+01  1.1294712E-02  1.3030117E-04  8.4358777E-03  1.0319408E-03  0.0000000E+00
  1.5000000E+01  8.9824165E-03  3.3514069E-05  7.2089020E-03  7.6081574E-04  0.0000000E+00
  1.5000000E+01  3.4332367E-03  5.5850676E-06  2.5671781E-03  3.4138890E-04  0.0000000E+00
